gene	slope	pval	r2	symbol	DEGs
162	FBgn0030452	0.153	2.823e-02	0.54	MFS10	 old non-Smurf
163	FBgn0052071	0.151	1.229e-02	0.541	CG32071	none
164	FBgn0263118	0.15	1.656e-02	0.805	tx	Smurf & old non-Smurf
165	FBgn0036956	0.149	3.560e-02	0.501	CG13813	Smurf
166	FBgn0038455	0.149	1.700e-03	0.644	CG14907	Smurf & old non-Smurf
167	FBgn0051105	0.149	1.276e-02	0.574	ppk22	Smurf
168	FBgn0037541	0.148	1.868e-02	0.573	CG2747	none
169	FBgn0003231	0.147	1.200e-03	0.629	ref(2)P	Smurf & old non-Smurf
170	FBgn0038320	0.147	1.770e-03	0.659	Sra-1	none
171	FBgn0266709	0.146	1.723e-02	0.556	Zmynd10	none
172	FBgn0267708	0.143	1.164e-02	0.508	-	none
173	FBgn0027843	0.141	1.833e-02	0.652	CAH2	 old non-Smurf
174	FBgn0261983	0.141	1.700e-04	0.689	l(2)gd1	Smurf
175	FBgn0031897	0.139	1.311e-02	0.593	CG13784	Smurf
176	FBgn0051044	0.138	9.780e-03	0.619	-	Smurf
177	FBgn0267936	0.138	4.150e-03	0.533	-	none
178	FBgn0259683	0.136	4.424e-02	0.512	Ir40a	none
179	FBgn0033814	0.133	1.775e-02	0.599	CG4670	Smurf & old non-Smurf
180	FBgn0027505	0.132	4.390e-03	0.564	Rab3-GAP	none
181	FBgn0284252	0.132	2.900e-04	0.681	Letm1	Smurf & old non-Smurf
182	FBgn0010909	0.131	9.110e-03	0.549	msn	Smurf
183	FBgn0031037	0.13	2.362e-02	0.754	CG14207	Smurf & old non-Smurf
184	FBgn0260655	0.128	4.402e-02	0.532	l(3)76BDm	none
185	FBgn0013987	0.127	1.850e-03	0.546	MAPk-Ak2	Smurf
186	FBgn0034182	0.127	7.410e-03	0.58	SmydA-7	Smurf
187	FBgn0040319	0.125	1.522e-02	0.702	Gclc	Smurf & old non-Smurf
188	FBgn0033755	0.124	6.790e-03	0.589	ClC-b	none
189	FBgn0266186	0.12	1.070e-03	0.574	Vamp7	none
190	FBgn0031356	0.114	1.470e-03	0.555	CG17660	Smurf
191	FBgn0259227	0.113	1.455e-02	0.535	CG42327	none
192	FBgn0035137	0.112	1.538e-02	0.554	CG1233	Smurf & old non-Smurf
193	FBgn0027554	0.111	4.101e-02	0.544	CG8042	Smurf & old non-Smurf
194	FBgn0051618	0.111	6.780e-03	0.554	His2A:CG31618	none
195	FBgn0033735	0.107	3.043e-02	0.52	CG8525	none
196	FBgn0050372	0.107	7.910e-03	0.536	Asap	Smurf
197	FBgn0001202	0.104	6.700e-03	0.684	hook	Smurf & old non-Smurf
198	FBgn0028515	0.104	2.760e-03	0.519	EndoGI	Smurf
199	FBgn0035165	0.101	1.300e-03	0.699	CG13887	Smurf & old non-Smurf
200	FBgn0038110	0.094	1.084e-02	0.625	CG8031	Smurf
201	FBgn0038535	0.089	2.125e-02	0.593	alt	none
202	FBgn0265001	0.089	3.002e-02	0.503	ppk18	none
203	FBgn0036666	0.086	1.508e-02	0.621	TSG101	Smurf & old non-Smurf
204	FBgn0027598	0.084	7.800e-03	0.606	cindr	Smurf
205	FBgn0025865	0.081	2.559e-02	0.506	Cortactin	none
206	FBgn0001941	0.072	5.780e-03	0.522	ifc	Smurf
207	FBgn0029657	0.069	2.251e-02	0.741	CG12535	none
208	FBgn0029502	-0.075	4.315e-02	0.634	COQ7	none
209	FBgn0034931	-0.082	4.050e-02	0.534	CG2812	none
210	FBgn0035586	-0.082	1.494e-02	0.609	Fitm	none
211	FBgn0031148	-0.093	3.054e-02	0.513	Cbs	Smurf
212	FBgn0023512	-0.095	2.630e-02	0.55	eIF2Bepsilon	 old non-Smurf
213	FBgn0265540	-0.097	2.383e-02	0.579	-	none
214	FBgn0050359	-0.103	4.574e-02	0.65	Mal-A5	Smurf & old non-Smurf
215	FBgn0020258	-0.108	3.522e-02	0.568	ppk	none
